customer_id,churn,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,charges_monthly,charges_total,cuentas_diarias
0002-ORFBO,0,Female,0.0,1,1,9.0,1,No,DSL,No,Yes,No,Yes,Yes,No,One year,1,Mailed check,65.6,593.3,2.19
0003-MKNFE,0,Male,0.0,0,0,9.0,1,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,0,Mailed check,59.9,542.4,2.0
0004-TLHLJ,1,Male,0.0,0,0,4.0,1,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Electronic check,73.9,280.85,2.46
0011-IGKFF,1,Male,1.0,1,0,13.0,1,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,98.0,1237.85,3.27
0013-EXCHZ,1,Female,1.0,1,0,3.0,1,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,1,Mailed check,83.9,267.4,2.8
0013-MHZWF,0,Female,0.0,0,1,9.0,1,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,1,Credit card (automatic),69.4,571.45,2.31
0013-SMEOE,0,Female,1.0,1,0,71.0,1,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),109.7,7904.25,3.66
0014-BMAQU,0,Male,0.0,1,0,63.0,1,Yes,Fiber optic,Yes,No,No,Yes,No,No,Two year,1,Credit card (automatic),84.65,5377.8,2.82
0015-UOCOJ,0,Female,1.0,0,0,7.0,1,No,DSL,Yes,No,No,No,No,No,Month-to-month,1,Electronic check,48.2,340.35,1.61
0016-QLJIS,0,Female,0.0,1,1,65.0,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Mailed check,90.45,5957.9,3.02
0017-DINOC,0,Male,0.0,0,0,54.0,0,No phone service,DSL,Yes,No,No,Yes,Yes,No,Two year,0,Credit card (automatic),45.2,2460.55,1.51
0017-IUDMW,0,Female,0.0,1,1,72.0,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),116.8,8456.75,3.89
0018-NYROU,0,Female,0.0,1,0,5.0,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,68.95,351.5,2.3
0019-EFAEP,0,Female,0.0,0,0,72.0,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,1,Bank transfer (automatic),101.3,7261.25,3.38
0019-GFNTW,0,Female,0.0,0,0,56.0,0,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Two year,0,Bank transfer (automatic),45.05,2560.1,1.5
0020-INWCK,0,Female,0.0,1,1,71.0,1,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,1,Credit card (automatic),95.75,6849.4,3.19
0020-JDNXP,0,Female,0.0,1,1,34.0,0,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,0,Mailed check,61.25,1993.2,2.04
0021-IKXGC,0,Female,1.0,0,0,1.0,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,72.1,72.1,2.4
0022-TCJCI,1,Male,1.0,0,0,45.0,1,No,DSL,Yes,No,Yes,No,No,Yes,One year,0,Credit card (automatic),62.7,2791.5,2.09
0023-HGHWL,1,Male,1.0,0,0,1.0,0,No phone service,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,25.1,25.1,0.84
0023-UYUPN,0,Female,1.0,1,0,50.0,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Electronic check,25.2,1306.3,0.84
0023-XUOPT,1,Female,0.0,1,0,13.0,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,0,Electronic check,94.1,1215.6,3.14
0027-KWYKW,0,Female,0.0,1,1,23.0,1,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,83.75,1849.95,2.79
0030-FNXPP,0,Female,0.0,0,0,3.0,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.85,57.2,0.66
0031-PVLZI,1,Female,0.0,1,1,4.0,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.35,76.35,0.68
0032-PGELS,1,Female,0.0,1,1,1.0,0,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,0,Bank transfer (automatic),30.5,30.5,1.02
0036-IHMOT,0,Female,0.0,1,1,55.0,1,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,1,Bank transfer (automatic),103.7,5656.75,3.46
